Model,Accuracy,Precision,Recall,F1,ROC_AUC
DecisionTree,1.0,1.0,1.0,1.0,1.0
RandomForest,0.995,0.9931972789115646,1.0,0.9965870307167235,0.9999365804160325
GradientBoosting,0.995,1.0,0.9931506849315068,0.9965635738831615,1.0
LogisticRegression,0.985,1.0,0.9794520547945206,0.9896193771626297,1.0
MLP,0.985,1.0,0.9794520547945206,0.9896193771626297,0.9992389649923896
SVC,0.98,1.0,0.9726027397260274,0.9861111111111112,0.9983510908168441
KNN,0.965,0.9929078014184397,0.958904109589041,0.975609756097561,0.9918188736681888
